representation,groups,bits,mean_group_size,max_group_size,success_rate,raw_possible_cases,destroyed_episode_rate,empty_intersection_rate,mean_regret
contact_count,1,0,64.0,64,0.7199533255542591,857,1.0,1.0,0.21588569675704652
normal_2,2,1,32.0,32,0.8786464410735122,857,0.691948658109685,0.5625,0.19239739064778633
normal_4,4,2,16.0,16,0.9801633605600933,857,0.073512252042007,0.10526315789473684,0.19014810928973522
normal_8,8,3,8.0,9,0.9941656942823804,857,0.01633605600933489,0.03937007874015748,0.10418814831436314
normal_16,16,4,4.0,5,0.9941656942823804,857,0.01633605600933489,0.02242152466367713,0.05925403611731566
normal8_mu2,16,4,4.0,5,0.9988331388564761,857,0.002333722287047841,0.004329004329004329,0.06468717409132
cone_signature_repair,52,6,1.2307692307692308,2,0.9988331388564761,857,0.002333722287047841,0.006666666666666667,0.007589017200301177
raw_mode,64,6,1.0,1,1.0,857,0.0,0.0,0.0
