representation,mode_id,normal_angle,mu,task_index,task_angle,group,action_index,action_angle,raw_possible,robust_common_action,success,best_progress,chosen_progress,regret
contact_count,0,0.056450171387183654,0.29942255044715227,0,0.0,one_contact,2,0.06981317007977318,True,False,True,0.9385542497901282,0.937301528695517,0.0012527210946112755
contact_count,0,0.056450171387183654,0.29942255044715227,1,0.2617993877991494,one_contact,5,0.17453292519943295,True,False,True,0.9299306550967462,0.929498310301891,0.0004323447948552106
contact_count,0,0.056450171387183654,0.29942255044715227,2,0.5235987755982988,one_contact,16,0.5585053606381855,True,False,True,0.8886738486094098,0.7816064579614073,0.10706739064800253
contact_count,0,0.056450171387183654,0.29942255044715227,3,0.7853981633974483,one_contact,24,0.8377580409572782,True,False,True,0.7923514233389412,0.5530192246040271,0.23933219873491407
contact_count,0,0.056450171387183654,0.29942255044715227,4,1.0471975511965976,one_contact,31,1.0821041362364843,True,False,True,0.6420315579905623,0.3179145000061521,0.3241170579844102
contact_count,0,0.056450171387183654,0.29942255044715227,5,1.308996938995747,one_contact,38,1.3264502315156905,True,False,False,0.4479583029724424,0.12014245081798647,0.3278158521544559
contact_count,0,0.056450171387183654,0.29942255044715227,6,1.5707963267948966,one_contact,45,1.5707963267948966,True,False,False,0.22335742989284796,0.009606892135060122,0.21375053775778785
contact_count,0,0.056450171387183654,0.29942255044715227,19,4.974188368183839,one_contact,144,5.026548245743669,True,False,False,0.3588112508624678,0.07812738380053212,0.28068386706193565
contact_count,0,0.056450171387183654,0.29942255044715227,20,5.235987755982988,one_contact,151,5.270894341022875,True,False,True,0.566865246249653,0.25405136894691294,0.31281387730274
contact_count,0,0.056450171387183654,0.29942255044715227,21,5.497787143782138,one_contact,160,5.585053606381854,True,False,True,0.7362883118940371,0.5196992306891663,0.21658908120487075
contact_count,0,0.056450171387183654,0.29942255044715227,22,5.759586531581287,one_contact,165,5.759586531581287,True,False,True,0.8555345458568085,0.7110680447486639,0.14446650110814463
contact_count,0,0.056450171387183654,0.29942255044715227,23,6.021385919380436,one_contact,172,6.003932626860494,True,False,True,0.9169748258730454,0.8771172796641772,0.039857546208868166
contact_count,1,0.049476742920570235,0.44167543395286596,0,0.0,one_contact,2,0.06981317007977318,True,False,True,1.0456301624267204,1.0440925691594258,0.0015375932672945236
contact_count,1,0.049476742920570235,0.44167543395286596,1,0.2617993877991494,one_contact,5,0.17453292519943295,True,False,True,1.0350788562235262,1.034664327068991,0.00041452915453521477
contact_count,1,0.049476742920570235,0.44167543395286596,2,0.5235987755982988,one_contact,16,0.5585053606381855,True,False,True,0.992319320747531,0.8898446450065883,0.10247467574094271
contact_count,1,0.049476742920570235,0.44167543395286596,3,0.7853981633974483,one_contact,24,0.8377580409572782,True,False,True,0.9119748237442437,0.638165188386483,0.2738096353577607
contact_count,1,0.049476742920570235,0.44167543395286596,4,1.0471975511965976,one_contact,31,1.0821041362364843,True,False,True,0.7706214677189666,0.3739199695397625,0.3967014981792041
contact_count,1,0.049476742920570235,0.44167543395286596,5,1.308996938995747,one_contact,38,1.3264502315156905,True,False,False,0.5767515321808311,0.14601898865623078,0.43073254352460033
