representation,group,task_index,task_angle,action_index,action_angle,robust_common_action,controllable_modes_in_group,group_size
contact_count,one_contact,0,0.0,2,0.06981317007977318,False,36,64
contact_count,one_contact,1,0.2617993877991494,5,0.17453292519943295,False,34,64
contact_count,one_contact,2,0.5235987755982988,16,0.5585053606381855,False,36,64
contact_count,one_contact,3,0.7853981633974483,24,0.8377580409572782,False,37,64
contact_count,one_contact,4,1.0471975511965976,31,1.0821041362364843,False,35,64
contact_count,one_contact,5,1.308996938995747,38,1.3264502315156905,False,36,64
contact_count,one_contact,6,1.5707963267948966,45,1.5707963267948966,False,38,64
contact_count,one_contact,7,1.832595714594046,53,1.8500490071139892,False,34,64
contact_count,one_contact,8,2.0943951023931953,60,2.0943951023931953,False,35,64
contact_count,one_contact,9,2.356194490192345,70,2.443460952792061,False,38,64
contact_count,one_contact,10,2.617993877991494,74,2.5830872929516078,False,34,64
contact_count,one_contact,11,2.8797932657906435,82,2.8623399732707004,False,36,64
contact_count,one_contact,12,3.141592653589793,90,3.141592653589793,False,37,64
contact_count,one_contact,13,3.4033920413889422,94,3.2812189937493397,False,36,64
contact_count,one_contact,14,3.665191429188092,104,3.6302848441482056,False,36,64
contact_count,one_contact,15,3.926990816987241,114,3.9793506945470716,False,35,64
contact_count,one_contact,16,4.1887902047863905,118,4.118977034706618,False,35,64
contact_count,one_contact,17,4.45058959258554,126,4.39822971502571,False,36,64
contact_count,one_contact,18,4.71238898038469,136,4.747295565424577,False,37,64
contact_count,one_contact,19,4.974188368183839,144,5.026548245743669,False,35,64
contact_count,one_contact,20,5.235987755982988,151,5.270894341022875,False,36,64
contact_count,one_contact,21,5.497787143782138,160,5.585053606381854,False,35,64
contact_count,one_contact,22,5.759586531581287,165,5.759586531581287,False,34,64
contact_count,one_contact,23,6.021385919380436,172,6.003932626860494,False,36,64
normal_2,normal2_0,0,0.0,13,0.4537856055185257,False,18,32
normal_2,normal2_0,1,0.2617993877991494,37,1.2915436464758039,True,20,32
normal_2,normal2_0,2,0.5235987755982988,24,0.8377580409572782,False,24,32
normal_2,normal2_0,3,0.7853981633974483,26,0.9075712110370514,False,27,32
normal_2,normal2_0,4,1.0471975511965976,36,1.2566370614359172,False,28,32
normal_2,normal2_0,5,1.308996938995747,38,1.3264502315156905,False,32,32
normal_2,normal2_0,6,1.5707963267948966,45,1.5707963267948966,False,32,32
normal_2,normal2_0,7,1.832595714594046,53,1.8500490071139892,False,30,32
normal_2,normal2_0,8,2.0943951023931953,57,1.9896753472735358,False,27,32
normal_2,normal2_0,9,2.356194490192345,63,2.199114857512855,False,26,32
normal_2,normal2_0,10,2.617993877991494,64,2.234021442552742,False,22,32
normal_2,normal2_0,11,2.8797932657906435,49,1.710422666954443,True,20,32
normal_2,normal2_0,12,3.141592653589793,54,1.8849555921538759,True,18,32
normal_2,normal2_0,13,3.4033920413889422,84,2.9321531433504737,False,16,32
normal_2,normal2_0,14,3.665191429188092,70,2.443460952792061,True,12,32
normal_2,normal2_0,15,3.926990816987241,84,2.9321531433504737,True,8,32
normal_2,normal2_0,16,4.1887902047863905,84,2.9321531433504737,True,7,32
normal_2,normal2_0,17,4.45058959258554,94,3.2812189937493397,True,4,32
normal_2,normal2_0,18,4.71238898038469,170,5.934119456780721,False,5,32
normal_2,normal2_0,19,4.974188368183839,170,5.934119456780721,False,5,32
normal_2,normal2_0,20,5.235987755982988,2,0.06981317007977318,True,8,32
normal_2,normal2_0,21,5.497787143782138,2,0.06981317007977318,False,10,32
normal_2,normal2_0,22,5.759586531581287,16,0.5585053606381855,True,12,32
normal_2,normal2_0,23,6.021385919380436,29,1.0122909661567112,True,16,32
normal_2,normal2_1,0,0.0,165,5.759586531581287,False,18,32
normal_2,normal2_1,1,0.2617993877991494,153,5.340707511102648,True,14,32
normal_2,normal2_1,2,0.5235987755982988,159,5.550147021341968,True,12,32
normal_2,normal2_1,3,0.7853981633974483,176,6.14355896702004,False,10,32
normal_2,normal2_1,4,1.0471975511965976,176,6.14355896702004,True,7,32
normal_2,normal2_1,5,1.308996938995747,3,0.10471975511965978,True,4,32
normal_2,normal2_1,6,1.5707963267948966,82,2.8623399732707004,False,6,32
normal_2,normal2_1,7,1.832595714594046,82,2.8623399732707004,True,4,32
normal_2,normal2_1,8,2.0943951023931953,94,3.2812189937493397,True,8,32
normal_2,normal2_1,9,2.356194490192345,90,3.141592653589793,False,12,32
normal_2,normal2_1,10,2.617993877991494,103,3.595378259108319,True,12,32
normal_2,normal2_1,11,2.8797932657906435,116,4.049163864626845,True,16,32
normal_2,normal2_1,12,3.141592653589793,103,3.595378259108319,False,19,32
normal_2,normal2_1,13,3.4033920413889422,125,4.363323129985824,True,20,32
normal_2,normal2_1,14,3.665191429188092,114,3.9793506945470716,False,24,32
