family,case_id,method,task_index,mode_count,action_count,task_count,topology,friction_profile,progress_margin,contact_margin,probe_tasks,action_sectors,probe_placement,label_false_positive,label_false_negative,probe_cost,probe_reliability,first_action_required,control,success_rate,empty_intersection_rate,destroyed_episode_rate,mean_regret,mean_cost,refusal_rate,groups,bits,mean_group_size,max_group_size,raw_possible_cases,seed
family_g,G_00001,contact_count,,64,64,18,uniform,mixed,0.16,0.08,0,0,,0.0,0.0,0.0,1.0,1,,0.722397476340694,1.0,1.0,0.20493548901675251,2.110410094637224,0.0,1,0,64.0,64,634,627027
family_g,G_00001,normal_8,,64,64,18,uniform,mixed,0.16,0.08,0,0,,0.0,0.0,0.0,1.0,1,,0.9842271293375394,0.06451612903225806,0.04889589905362776,0.10580028222186333,1.0630914826498423,0.0,8,3,8.0,9,634,627027
family_g,G_00001,normal16_mu4,,64,64,18,uniform,mixed,0.16,0.08,0,0,,0.0,0.0,0.0,1.0,1,,0.998422712933754,0.003703703703703704,0.0031545741324921135,0.026142001575099934,1.0063091482649842,0.0,32,5,2.0,3,634,627027
family_g,G_00001,prediction_6,,64,64,18,uniform,mixed,0.16,0.08,0,0,,0.0,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.008069801969859127,1.0,0.0,52,6,1.2307692307692308,3,634,627027
family_g,G_00001,ccsc_4x6,,64,64,18,uniform,mixed,0.16,0.08,0,0,,0.0,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.010669801536982744,1.0,0.0,48,6,1.3333333333333333,3,634,627027
family_g,G_00001,ccsc_6x8,,64,64,18,uniform,mixed,0.16,0.08,0,0,,0.0,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.006655417265200089,1.0,0.0,52,6,1.2307692307692308,2,634,627027
family_g,G_00001,ccsc_8x12,,64,64,18,uniform,mixed,0.16,0.08,0,0,,0.0,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.0012246317667915995,1.0,0.0,61,6,1.0491803278688525,2,634,627027
family_g,G_00001,ccsc_greedy_6x8,,64,64,18,uniform,mixed,0.16,0.08,0,0,,0.0,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.007477115028852168,1.0,0.0,52,6,1.2307692307692308,3,634,627027
family_g,G_00001,safe_refusal_ccsc,,64,64,18,uniform,mixed,0.16,0.08,0,0,,0.0,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.006655417265200089,1.0,0.0,52,6,1.2307692307692308,2,634,627027
family_g,G_00001,raw_mode,,64,64,18,uniform,mixed,0.16,0.08,0,0,,0.0,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.0,1.0,0.0,64,6,1.0,1,634,627027
