family,case_id,method,task_index,mode_count,action_count,task_count,topology,friction_profile,progress_margin,contact_margin,probe_tasks,action_sectors,probe_placement,label_false_positive,label_false_negative,probe_cost,probe_reliability,first_action_required,control,success_rate,empty_intersection_rate,destroyed_episode_rate,mean_regret,mean_cost,refusal_rate,groups,bits,mean_group_size,max_group_size,raw_possible_cases,seed
family_d,D_00001,contact_count,,64,72,18,uniform,mixed,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,0.7465437788018433,1.0,1.0,0.2069889880178894,2.013824884792627,0.0,1,0,64.0,64,651,327027
family_d,D_00001,normal_4,,64,72,18,uniform,mixed,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,0.989247311827957,0.07142857142857142,0.03840245775729647,0.19961488872949612,1.043010752688172,0.0,4,2,16.0,17,651,327027
family_d,D_00001,normal_8,,64,72,18,uniform,mixed,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,0.9907834101382489,0.043010752688172046,0.026113671274961597,0.11203217450329052,1.0368663594470044,0.0,8,3,8.0,9,651,327027
family_d,D_00001,normal_16,,64,72,18,uniform,mixed,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,0.9938556067588326,0.023809523809523808,0.019969278033794162,0.06514678025666835,1.0245775729646698,0.0,16,4,4.0,5,651,327027
family_d,D_00001,normal8_mu2,,64,72,18,uniform,mixed,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,0.9907834101382489,0.043010752688172046,0.026113671274961597,0.11203217450329052,1.0368663594470044,0.0,8,3,8.0,9,651,327027
family_d,D_00001,normal16_mu4,,64,72,18,uniform,mixed,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,0.9984639016897081,0.0036496350364963502,0.0030721966205837174,0.027140270306309614,1.0061443932411676,0.0,32,5,2.0,3,651,327027
family_d,D_00001,random_3,,64,72,18,uniform,mixed,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,0.7956989247311828,0.5694444444444444,0.620583717357911,0.2073994932636138,1.817204301075269,0.0,8,3,8.0,8,651,327027
family_d,D_00001,random_4,,64,72,18,uniform,mixed,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,0.8494623655913979,0.26480836236933797,0.35023041474654376,0.23443884673755838,1.6021505376344085,0.0,16,4,4.0,4,651,327027
family_d,D_00001,prediction_4,,64,72,18,uniform,mixed,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.043740476651858255,1.0,0.0,35,6,1.8285714285714285,7,651,327027
family_d,D_00001,prediction_6,,64,72,18,uniform,mixed,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.00424447163550352,1.0,0.0,58,6,1.103448275862069,2,651,327027
family_d,D_00001,ccsc_2x4,,64,72,18,uniform,mixed,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.08277982381814819,1.0,0.0,22,5,2.909090909090909,6,651,327027
family_d,D_00001,ccsc_6x8,,64,72,18,uniform,mixed,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.005501188074571929,1.0,0.0,54,6,1.1851851851851851,2,651,327027
family_d,D_00001,ccsc_no_friction,,64,72,18,uniform,mixed,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.007421402521030877,1.0,0.0,52,6,1.2307692307692308,3,651,327027
family_d,D_00001,ccsc_random_6x8,,64,72,18,uniform,mixed,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.007090010355511386,1.0,0.0,52,6,1.2307692307692308,2,651,327027
family_d,D_00001,ccsc_greedy_6x8,,64,72,18,uniform,mixed,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.004029579815410432,1.0,0.0,56,6,1.1428571428571428,2,651,327027
family_d,D_00001,safe_refusal_ccsc,,64,72,18,uniform,mixed,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.005501188074571929,1.0,0.0,54,6,1.1851851851851851,2,651,327027
family_d,D_00001,raw_mode,,64,72,18,uniform,mixed,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.0,1.0,0.0,64,6,1.0,1,651,327027
family_d,D_00001,raw_safe_refusal,,64,72,18,uniform,mixed,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.0,1.0,0.0,64,6,1.0,1,651,327027
family_d,D_00002,contact_count,,64,72,18,uniform,mixed,0.22,0.08,0,0,,0.0,0.0,0.0,1.0,1,,0.7090909090909091,1.0,1.0,0.20598545941439542,2.1636363636363636,0.0,1,0,64.0,64,605,327058
