family,case_id,method,task_index,mode_count,action_count,task_count,topology,friction_profile,progress_margin,contact_margin,probe_tasks,action_sectors,probe_placement,label_false_positive,label_false_negative,probe_cost,probe_reliability,first_action_required,control,success_rate,empty_intersection_rate,destroyed_episode_rate,mean_regret,mean_cost,refusal_rate,groups,bits,mean_group_size,max_group_size,raw_possible_cases,seed
family_c,C_00005_0.00_0.40,ccsc_conservative,,64,72,18,uniform,mixed,0.16,0.08,6,8,,0.0,0.4,0.0,1.0,1,,1.0,0.0,0.0,0.003086180292715238,1.0,0.0,59,6,1.0847457627118644,2,635,227119
family_c,C_00005_0.00_0.40,ccsc_thresholded,,64,72,18,uniform,mixed,0.16,0.08,6,8,,0.0,0.4,0.0,1.0,1,,1.0,0.0,0.0,0.005055890472855155,1.0,0.0,55,6,1.1636363636363636,2,635,227119
family_c,C_00005_0.00_0.40,normal8_mu2,,64,72,18,uniform,mixed,0.16,0.08,0,0,,0.0,0.4,0.0,1.0,1,,0.9874015748031496,0.03333333333333333,0.026771653543307086,0.10683369211793885,1.0503937007874016,0.0,8,3,8.0,9,635,227119
family_c,C_00005_0.00_0.40,raw_mode,,64,72,18,uniform,mixed,0.16,0.08,0,0,,0.0,0.4,0.0,1.0,1,,1.0,0.0,0.0,0.0,1.0,0.0,64,6,1.0,1,635,227119
family_c,C_00006_0.05_0.00,ccsc_noisy,,64,72,18,uniform,mixed,0.16,0.08,6,8,,0.05,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.0,1.0,0.0,64,6,1.0,1,639,227142
family_c,C_00006_0.05_0.00,ccsc_conservative,,64,72,18,uniform,mixed,0.16,0.08,6,8,,0.05,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.005296149910522366,1.0,0.0,54,6,1.1851851851851851,2,639,227142
family_c,C_00006_0.05_0.00,ccsc_thresholded,,64,72,18,uniform,mixed,0.16,0.08,6,8,,0.05,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.005086081548475884,1.0,0.0,54,6,1.1851851851851851,2,639,227142
family_c,C_00006_0.05_0.00,normal8_mu2,,64,72,18,uniform,mixed,0.16,0.08,0,0,,0.05,0.0,0.0,1.0,1,,0.9890453834115805,0.03296703296703297,0.026604068857589983,0.11127861838712005,1.0438184663536778,0.0,8,3,8.0,9,639,227142
family_c,C_00006_0.05_0.00,raw_mode,,64,72,18,uniform,mixed,0.16,0.08,0,0,,0.05,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.0,1.0,0.0,64,6,1.0,1,639,227142
family_c,C_00007_0.05_0.05,ccsc_noisy,,64,72,18,uniform,mixed,0.16,0.08,6,8,,0.05,0.05,0.0,1.0,1,,1.0,0.0,0.0,0.0,1.0,0.0,64,6,1.0,1,637,227165
family_c,C_00007_0.05_0.05,ccsc_conservative,,64,72,18,uniform,mixed,0.16,0.08,6,8,,0.05,0.05,0.0,1.0,1,,1.0,0.0,0.0,0.0039056318474339916,1.0,0.0,56,6,1.1428571428571428,3,637,227165
family_c,C_00007_0.05_0.05,ccsc_thresholded,,64,72,18,uniform,mixed,0.16,0.08,6,8,,0.05,0.05,0.0,1.0,1,,1.0,0.0,0.0,0.0039056318474339916,1.0,0.0,56,6,1.1428571428571428,3,637,227165
family_c,C_00007_0.05_0.05,normal8_mu2,,64,72,18,uniform,mixed,0.16,0.08,0,0,,0.05,0.05,0.0,1.0,1,,0.978021978021978,0.06666666666666667,0.05337519623233909,0.10306945937909362,1.087912087912088,0.0,8,3,8.0,9,637,227165
family_c,C_00007_0.05_0.05,raw_mode,,64,72,18,uniform,mixed,0.16,0.08,0,0,,0.05,0.05,0.0,1.0,1,,1.0,0.0,0.0,0.0,1.0,0.0,64,6,1.0,1,637,227165
family_c,C_00008_0.05_0.10,ccsc_noisy,,64,72,18,uniform,mixed,0.16,0.08,6,8,,0.05,0.1,0.0,1.0,1,,1.0,0.0,0.0,0.0,1.0,0.0,64,6,1.0,1,641,227188
family_c,C_00008_0.05_0.10,ccsc_conservative,,64,72,18,uniform,mixed,0.16,0.08,6,8,,0.05,0.1,0.0,1.0,1,,1.0,0.0,0.0,0.003969495084467991,1.0,0.0,57,6,1.1228070175438596,2,641,227188
family_c,C_00008_0.05_0.10,ccsc_thresholded,,64,72,18,uniform,mixed,0.16,0.08,6,8,,0.05,0.1,0.0,1.0,1,,1.0,0.0,0.0,0.004803858964751924,1.0,0.0,55,6,1.1636363636363636,2,641,227188
family_c,C_00008_0.05_0.10,normal8_mu2,,64,72,18,uniform,mixed,0.16,0.08,0,0,,0.05,0.1,0.0,1.0,1,,0.9890795631825273,0.043478260869565216,0.0358814352574103,0.10723725096111922,1.0436817472698907,0.0,8,3,8.0,9,641,227188
