false_positive,false_negative,method,rows,success_rate,empty_intersection_rate,destroyed_episode_rate,mean_regret,mean_cost,refusal_rate,groups,bits,mean_group_size,max_group_size,raw_possible_cases
0.0,0.4,raw_mode,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,637.0
0.05,0.0,ccsc_conservative,2,1.0,0.0,0.0,0.006498387920383916,1.0,0.0,52.0,6.0,1.2325925925925927,2.5,637.0
0.05,0.0,ccsc_noisy,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,637.0
0.05,0.0,ccsc_thresholded,2,1.0,0.0,0.0,0.006232724642428376,1.0,0.0,52.5,6.0,1.2200435729847494,2.5,637.0
0.05,0.0,normal8_mu2,2,0.9913730854065776,0.027472527472527472,0.019601247027220187,0.10461177904340935,1.0345076583736894,0.0,8.0,3.0,8.0,8.5,637.0
0.05,0.0,raw_mode,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,637.0
0.05,0.05,ccsc_conservative,2,1.0,0.0,0.0,0.006177886660902519,1.0,0.0,54.0,6.0,1.1868131868131868,3.5,637.5
0.05,0.05,ccsc_noisy,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,637.5
0.05,0.05,ccsc_thresholded,2,1.0,0.0,0.0,0.00555816803695644,1.0,0.0,54.5,6.0,1.1752021563342319,3.5,637.5
0.05,0.05,normal8_mu2,2,0.9874435908918667,0.03876811594202899,0.03295719059265857,0.10337676216292935,1.050225636432533,0.0,8.0,3.0,8.0,8.5,637.5
0.05,0.05,raw_mode,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,637.5
0.05,0.1,ccsc_conservative,2,1.0,0.0,0.0,0.004404966045013484,1.0,0.0,55.5,6.0,1.1539961013645224,2.5,637.5
0.05,0.1,ccsc_noisy,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,637.5
0.05,0.1,ccsc_thresholded,2,1.0,0.0,0.0,0.00578049493200789,1.0,0.0,53.5,6.0,1.1972027972027972,2.5,637.5
0.05,0.1,normal8_mu2,2,0.9921738509918946,0.03840579710144927,0.028981727092427547,0.10480510792905476,1.0313045960324216,0.0,8.0,3.0,8.0,8.5,637.5
0.05,0.1,raw_mode,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,637.5
0.05,0.2,ccsc_conservative,2,0.9992138364779874,0.005263157894736842,0.0015723270440251573,0.005767100532186497,1.0031446540880504,0.0,53.5,6.0,1.1963661774982528,2.5,634.5
0.05,0.2,ccsc_noisy,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,634.5
0.05,0.2,ccsc_thresholded,2,0.9992138364779874,0.005813953488372093,0.0015723270440251573,0.0060841959827506575,1.0031446540880504,0.0,53.5,6.0,1.1972027972027972,2.5,634.5
0.05,0.2,normal8_mu2,2,0.9921383647798743,0.03296703296703297,0.02279874213836478,0.1008992689529849,1.0314465408805031,0.0,8.0,3.0,8.0,8.5,634.5
0.05,0.2,raw_mode,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,634.5
0.05,0.4,ccsc_conservative,2,1.0,0.0,0.0,0.005586082406412245,1.0,0.0,55.0,6.0,1.164021164021164,2.5,636.0
0.05,0.4,ccsc_noisy,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,636.0
0.05,0.4,ccsc_thresholded,2,1.0,0.0,0.0,0.006261927805846201,1.0,0.0,52.5,6.0,1.2191582002902757,2.5,636.0
0.05,0.4,normal8_mu2,2,0.988195069370964,0.033341475329750854,0.02911553256924735,0.10351725778100049,1.0472197225161437,0.0,8.0,3.0,8.0,8.5,636.0
0.05,0.4,raw_mode,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,636.0
0.1,0.0,ccsc_conservative,2,1.0,0.0,0.0,0.005766171233463704,1.0,0.0,52.5,6.0,1.2200435729847494,2.5,639.0
0.1,0.0,ccsc_noisy,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,639.0
0.1,0.0,ccsc_thresholded,2,1.0,0.0,0.0,0.005605209319491359,1.0,0.0,53.0,6.0,1.207977207977208,2.5,639.0
0.1,0.0,normal8_mu2,2,0.9882946338261693,0.04850525818267754,0.03434586363046359,0.10726031822326601,1.0468214646953224,0.0,8.0,3.0,8.0,8.5,639.0
0.1,0.0,raw_mode,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,639.0
0.1,0.05,ccsc_conservative,2,1.0,0.0,0.0,0.008604976762569553,1.0,0.0,50.5,6.0,1.2734436564223799,3.0,636.5
0.1,0.05,ccsc_noisy,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,636.5
0.1,0.05,ccsc_thresholded,2,1.0,0.0,0.0,0.009189712064212596,1.0,0.0,49.0,6.0,1.3110367892976589,3.0,636.5
0.1,0.05,normal8_mu2,2,0.984399375975039,0.054945054945054944,0.042901716068642744,0.09984095350714743,1.062402496099844,0.0,8.0,3.0,8.0,8.0,636.5
0.1,0.05,raw_mode,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,636.5
0.1,0.1,ccsc_conservative,2,1.0,0.0,0.0,0.006590295944534548,1.0,0.0,53.5,6.0,1.1972027972027972,2.5,638.5
0.1,0.1,ccsc_noisy,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,638.5
0.1,0.1,ccsc_thresholded,2,1.0,0.0,0.0,0.0073332668759365244,1.0,0.0,53.0,6.0,1.2092691622103386,2.5,638.5
