family,case_id,method,task_index,mode_count,action_count,task_count,topology,friction_profile,progress_margin,contact_margin,probe_tasks,action_sectors,probe_placement,label_false_positive,label_false_negative,probe_cost,probe_reliability,first_action_required,control,success_rate,empty_intersection_rate,destroyed_episode_rate,mean_regret,mean_cost,refusal_rate,groups,bits,mean_group_size,max_group_size,raw_possible_cases,seed
family_e,E_00001_0.0_0.8_1,contact_count,,64,72,18,uniform,mixed,0.16,0.08,0,0,,0.0,0.0,0.0,0.8,1,,0.7246835443037974,1.0,1.0,0.2070781249034254,2.1012658227848102,0.0,1,0,64.0,64,632,427027
family_e,E_00001_0.0_0.8_1,ccsc_6x8,,64,72,18,uniform,mixed,0.16,0.08,0,0,,0.0,0.0,0.0,0.8,1,,1.0,0.0,0.0,0.0053352072976435285,1.0,0.0,54,6,1.1851851851851851,2,632,427027
family_e,E_00001_0.0_0.8_1,raw_mode,,64,72,18,uniform,mixed,0.16,0.08,0,0,,0.0,0.0,0.0,0.8,1,,1.0,0.0,0.0,0.0,1.0,0.0,64,6,1.0,1,632,427027
family_e,E_00001_0.0_0.8_1,safe_refusal,,64,72,18,uniform,mixed,0.16,0.08,0,0,,0.0,0.0,0.0,0.8,1,,0.0,1.0,1.0,0.7210040122647828,5.0,1.0,1,0,64.0,64,632,427027
family_e,E_00001_0.0_0.8_1,active_probe_contact,,64,72,18,uniform,mixed,0.16,0.08,0,0,,0.0,0.0,0.0,0.8,1,,0.7246835443037974,1.0,0.19999999999999996,0.041415624980685066,2.1012658227848102,0.0,1,0,64.0,64,632,427027
family_e,E_00001_0.0_0.8_1,active_probe_ccsc,,64,72,18,uniform,mixed,0.16,0.08,0,0,,0.0,0.0,0.0,0.8,1,,1.0,0.0,0.0,0.0010670414595287056,1.0,0.0,54,6,1.1851851851851851,2,632,427027
family_e,E_00002_0.0_0.8_1,contact_count,,64,72,18,clustered,mixed,0.16,0.08,0,0,,0.0,0.0,0.0,0.8,1,,0.7341772151898734,1.0,1.0,0.20449990260450146,2.0632911392405062,0.0,1,0,64.0,64,632,427064
family_e,E_00002_0.0_0.8_1,ccsc_6x8,,64,72,18,clustered,mixed,0.16,0.08,0,0,,0.0,0.0,0.0,0.8,1,,0.9984177215189873,0.007575757575757576,0.007911392405063292,0.017857433049173296,1.0063291139240507,0.0,24,5,2.6666666666666665,8,632,427064
family_e,E_00002_0.0_0.8_1,raw_mode,,64,72,18,clustered,mixed,0.16,0.08,0,0,,0.0,0.0,0.0,0.8,1,,1.0,0.0,0.0,0.0,1.0,0.0,64,6,1.0,1,632,427064
family_e,E_00002_0.0_0.8_1,safe_refusal,,64,72,18,clustered,mixed,0.16,0.08,0,0,,0.0,0.0,0.0,0.8,1,,0.0,1.0,1.0,0.7218273802648617,5.0,1.0,1,0,64.0,64,632,427064
