family,method,rows,success_rate,empty_intersection_rate,destroyed_episode_rate,mean_regret,mean_cost,refusal_rate,groups,bits,mean_group_size,max_group_size,raw_possible_cases
family_c,ccsc_conservative,50,0.9999685534591195,0.00021052631578947367,6.289308176100629e-05,0.005524310842172674,1.000125786163522,0.0,54.84,6.0,1.1721459435008272,2.58,636.8
family_c,ccsc_noisy,50,0.9650904766544265,0.15458184786240203,0.12014846338946952,0.02976968933097929,1.1396380933822938,0.0,53.3,5.78,1.4680424501231695,5.9,636.8
family_c,ccsc_thresholded,50,0.9999685534591195,0.0002325581395348837,6.289308176100629e-05,0.006300408082277126,1.000125786163522,0.0,53.48,6.0,1.1989636767837253,2.62,636.8
family_c,normal8_mu2,50,0.9879885396572763,0.04313522933424598,0.03330189952620164,0.10346952790302585,1.0480458413708957,0.0,8.0,3.0,8.0,8.5,636.8
family_c,raw_mode,50,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,636.8
