family,method,rows,success_rate,empty_intersection_rate,destroyed_episode_rate,mean_regret,mean_cost,refusal_rate,groups,bits,mean_group_size,max_group_size,raw_possible_cases
family_d,ccsc_2x4,8,0.9959153789013769,0.014951383101162839,0.01784347329021894,0.06499993659345103,1.0163384843944923,0.0,22.875,5.0,4.216302216302216,9.125,942.25
family_d,ccsc_6x8,8,0.9990980383334038,0.004548296335793951,0.0019066349190592362,0.00875969521246547,1.0036078466663847,0.0,65.0,6.375,1.4737353570479326,3.875,942.25
family_d,ccsc_greedy_6x8,8,0.9999037721324096,0.0004280821917808219,0.00019245573518090838,0.008169506856463527,1.0003849114703618,0.0,66.125,6.375,1.4420500333935526,3.5,942.25
family_d,ccsc_no_friction,8,0.9983840144069593,0.006506410871558654,0.004041034581602406,0.013795752252533582,1.006463942372163,0.0,58.125,6.25,1.6290373342735405,4.75,942.25
family_d,ccsc_random_6x8,8,0.9996147167063476,0.0017195767195767196,0.0008671662781856927,0.011924419914876888,1.0015411331746094,0.0,61.5,6.25,1.5598341121192005,4.5,942.25
family_d,contact_count,8,0.7253155201475561,1.0,1.0,0.20725487403815804,2.0987379194097753,0.0,1.0,0.0,96.0,96.0,942.25
family_d,normal16_mu4,8,0.9980403470595937,0.006532484612654961,0.005364954834412444,0.03158194186445921,1.007838611761625,0.0,28.0,5.0,3.4999999999999996,5.0,942.25
family_d,normal8_mu2,8,0.9872480022261347,0.06870464506691648,0.04730065378098058,0.10817668464040377,1.051007991095461,0.0,8.0,3.0,12.0,12.5,942.25
family_d,normal_16,8,0.9927099160188068,0.03336085381830809,0.024239080905276683,0.056667020467784046,1.029160335924773,0.0,16.0,4.0,6.0,6.5,942.25
family_d,normal_4,8,0.9800916773180345,0.12444682702896756,0.09150099886047863,0.19946638415576307,1.0796332907278623,0.0,4.0,2.0,24.0,24.625,942.25
family_d,normal_8,8,0.9872480022261347,0.06870464506691648,0.04730065378098058,0.10817668464040377,1.051007991095461,0.0,8.0,3.0,12.0,12.5,942.25
family_d,prediction_4,8,0.9974985124438159,0.012528651813742494,0.007482026464531196,0.04716295970492255,1.0100059502247367,0.0,39.25,5.875,2.40230302272048,9.125,942.25
family_d,prediction_6,8,0.9987902753990937,0.007111466290353052,0.002721472064427356,0.007886819536063069,1.0048388984036252,0.0,71.0,6.5,1.3259192733481904,3.375,942.25
family_d,random_3,8,0.8141762911103948,0.53125,0.5731840629943186,0.13751383059637368,1.7432948355584206,0.0,8.0,3.0,12.0,12.0,942.25
family_d,random_4,8,0.9094192049066401,0.21883095336259667,0.24525064327048818,0.13598240699969433,1.3623231803734397,0.0,16.0,4.0,6.0,6.0,942.25
family_d,raw_mode,8,1.0,0.0,0.0,0.0,1.0,0.0,96.0,6.5,1.0,1.0,942.25
family_d,raw_safe_refusal,8,1.0,0.0,0.0,0.0,1.0,0.0,96.0,6.5,1.0,1.0,942.25
family_d,safe_refusal_ccsc,8,0.9980933650809408,0.004548296335793951,0.0019066349190592362,0.009123505210627627,1.0076265396762372,0.0019066349190592362,65.0,6.375,1.4737353570479326,3.875,942.25
