family,case_id,method,task_index,mode_count,action_count,task_count,topology,friction_profile,progress_margin,contact_margin,probe_tasks,action_sectors,probe_placement,label_false_positive,label_false_negative,probe_cost,probe_reliability,first_action_required,control,success_rate,empty_intersection_rate,destroyed_episode_rate,mean_regret,mean_cost,refusal_rate,groups,bits,mean_group_size,max_group_size,raw_possible_cases,seed
family_b,B_00001_1_2_grid,ccsc_grid,,64,64,18,uniform,mixed,0.16,0.08,1,2,grid,0.0,0.0,0.0,1.0,1,,0.9556962025316456,0.13131313131313133,0.25316455696202533,0.16835554731608945,1.1772151898734178,0.0,8,3,8.0,15,632,127027
family_b,B_00001_1_2_greedy,ccsc_greedy,,64,64,18,uniform,mixed,0.16,0.08,1,2,greedy,0.0,0.0,0.0,1.0,1,,0.9509493670886076,0.15841584158415842,0.3180379746835443,0.16902061334893673,1.1962025316455698,0.0,8,3,8.0,15,632,127027
family_b,B_00001_1_4_grid,ccsc_grid,,64,64,18,uniform,mixed,0.16,0.08,1,4,grid,0.0,0.0,0.0,1.0,1,,0.9667721518987342,0.08270676691729323,0.18670886075949367,0.12377470849624163,1.1329113924050631,0.0,13,4,4.923076923076923,15,632,127027
family_b,B_00001_1_4_greedy,ccsc_greedy,,64,64,18,uniform,mixed,0.16,0.08,1,4,greedy,0.0,0.0,0.0,1.0,1,,0.9620253164556962,0.08823529411764706,0.24367088607594936,0.12839546297452872,1.1518987341772151,0.0,13,4,4.923076923076923,15,632,127027
family_b,B_00001_1_8_grid,ccsc_grid,,64,64,18,uniform,mixed,0.16,0.08,1,8,grid,0.0,0.0,0.0,1.0,1,,0.9715189873417721,0.05421686746987952,0.17088607594936708,0.09664494893218897,1.1139240506329116,0.0,21,5,3.0476190476190474,15,632,127027
family_b,B_00001_1_8_greedy,ccsc_greedy,,64,64,18,uniform,mixed,0.16,0.08,1,8,greedy,0.0,0.0,0.0,1.0,1,,0.9620253164556962,0.07947019867549669,0.24367088607594936,0.10358676345005066,1.1518987341772151,0.0,20,5,3.2,15,632,127027
family_b,B_00001_1_16_grid,ccsc_grid,,64,64,18,uniform,mixed,0.16,0.08,1,16,grid,0.0,0.0,0.0,1.0,1,,0.9715189873417721,0.0661764705882353,0.17088607594936708,0.08885055377230613,1.1139240506329116,0.0,27,5,2.3703703703703702,15,632,127027
family_b,B_00001_1_16_greedy,ccsc_greedy,,64,64,18,uniform,mixed,0.16,0.08,1,16,greedy,0.0,0.0,0.0,1.0,1,,0.9620253164556962,0.1,0.24208860759493672,0.09568212320438668,1.1518987341772151,0.0,27,5,2.3703703703703702,15,632,127027
family_b,B_00001_2_2_grid,ccsc_grid,,64,64,18,uniform,mixed,0.16,0.08,2,2,grid,0.0,0.0,0.0,1.0,1,,0.9731012658227848,0.10465116279069768,0.15822784810126583,0.1537449189190623,1.1075949367088609,0.0,15,4,4.266666666666667,13,632,127027
family_b,B_00001_2_2_greedy,ccsc_greedy,,64,64,18,uniform,mixed,0.16,0.08,2,2,greedy,0.0,0.0,0.0,1.0,1,,0.9699367088607594,0.08759124087591241,0.10443037974683544,0.17907970610864554,1.1202531645569622,0.0,9,4,7.111111111111111,10,632,127027
