probe_tasks,action_sectors,placement,rows,success_rate,empty_intersection_rate,destroyed_episode_rate,mean_regret,mean_cost,refusal_rate,groups,bits,mean_group_size,max_group_size,raw_possible_cases
1,2,greedy,2,0.9579866072326981,0.11217495375911218,0.22738146746895815,0.16923321108295813,1.1680535710692077,0.0,8.0,3.0,8.0,15.5,630.5
1,2,grid,2,0.9555905495965065,0.11503928170594838,0.21720231027751505,0.16716862093727802,1.1776378016139744,0.0,8.0,3.0,8.0,15.5,630.5
1,4,greedy,2,0.9690889698335714,0.06051108968177435,0.16794037149584432,0.12439840089169751,1.1236441206657142,0.0,12.5,4.0,5.128205128205128,15.5,630.5
1,4,grid,2,0.9658979996377615,0.06766917293233082,0.1609219979473144,0.11948220409017794,1.1364080014489544,0.0,13.0,4.0,4.923076923076923,15.5,630.5
1,8,greedy,2,0.9690889698335714,0.05626402495758306,0.16794037149584432,0.10634873223392748,1.1236441206657142,0.0,18.5,5.0,3.4823529411764707,15.5,630.5
1,8,grid,2,0.9682714173592804,0.053894148020654044,0.1530106055422511,0.09920669529222756,1.1269143305628786,0.0,19.5,5.0,3.3015873015873014,15.5,630.5
1,16,greedy,2,0.9690889698335714,0.0696078431372549,0.167149232255338,0.09994486778856007,1.1236441206657142,0.0,24.5,5.0,2.6397306397306397,15.5,630.5
1,16,grid,2,0.9682714173592804,0.060115262321144676,0.1530106055422511,0.09313961364615167,1.1269143305628786,0.0,24.0,5.0,2.708994708994709,15.5,630.5
2,2,greedy,2,0.9730446660361031,0.06395691076053685,0.07844730434082631,0.16978205944274094,1.1078213358555877,0.0,9.5,4.0,6.7555555555555555,10.0,630.5
2,2,grid,2,0.9762167696363526,0.07315891472868218,0.12442393994888411,0.15309235433986235,1.0951329214545895,0.0,13.0,4.0,5.042424242424243,14.0,630.5
2,4,greedy,2,0.9992088607594937,0.002688172043010753,0.0015822784810126582,0.05763925038061742,1.0031645569620253,0.0,21.0,5.0,3.0476190476190474,6.5,630.5
2,4,grid,2,0.997626582278481,0.01020408163265306,0.00870253164556962,0.06203980570736371,1.009493670886076,0.0,22.0,5.0,2.9333333333333336,6.5,630.5
2,8,greedy,2,0.9992088607594937,0.0022727272727272726,0.0015822784810126582,0.024515616265785772,1.0031645569620253,0.0,32.5,5.5,1.9734345351043643,4.0,630.5
2,8,grid,2,0.9992088607594937,0.002347417840375587,0.0015822784810126582,0.025724494433168543,1.0031645569620253,0.0,33.0,5.5,1.9555555555555555,4.5,630.5
2,16,greedy,2,0.9992088607594937,0.0025,0.0015822784810126582,0.01635441170866188,1.0031645569620253,0.0,38.5,6.0,1.6853625170998632,3.0,630.5
2,16,grid,2,0.9992088607594937,0.0029411764705882353,0.0015822784810126582,0.014261063300337037,1.0031645569620253,0.0,42.0,6.0,1.5377574370709381,3.0,630.5
4,2,greedy,2,0.9992088607594937,0.0025906735751295338,0.0015822784810126582,0.05224377056494736,1.0031645569620253,0.0,24.0,5.0,2.6853146853146854,7.0,630.5
4,2,grid,2,0.9992088607594937,0.0031645569620253164,0.0015822784810126582,0.03910868411232193,1.0031645569620253,0.0,28.0,5.0,2.333333333333333,6.5,630.5
4,4,greedy,2,0.9992088607594937,0.0024509803921568627,0.0015822784810126582,0.028171828003050604,1.0031645569620253,0.0,31.5,5.5,2.074074074074074,5.0,630.5
4,4,grid,2,0.9992088607594937,0.003401360544217687,0.0015822784810126582,0.025935923402565175,1.0031645569620253,0.0,36.5,6.0,1.7696969696969698,5.0,630.5
4,8,greedy,2,1.0,0.0,0.0,0.011142497212622835,1.0,0.0,45.0,6.0,1.4285714285714284,3.0,630.5
4,8,grid,2,0.9992088607594937,0.0035460992907801418,0.0015822784810126582,0.01118126838114892,1.0031645569620253,0.0,45.5,6.0,1.4149659863945576,2.5,630.5
4,16,greedy,2,1.0,0.0,0.0,0.0033875735696385005,1.0,0.0,56.0,6.0,1.144316730523627,2.0,630.5
4,16,grid,2,0.9992088607594937,0.0058823529411764705,0.0015822784810126582,0.0071719239172257036,1.0031645569620253,0.0,52.0,6.0,1.2348794063079778,2.5,630.5
6,2,greedy,2,0.9992088607594937,0.0021929824561403508,0.0015822784810126582,0.02041344263765494,1.0031645569620253,0.0,36.0,6.0,1.7902097902097902,4.0,630.5
6,2,grid,2,0.9992088607594937,0.0029940119760479044,0.0015822784810126582,0.03283037502642562,1.0031645569620253,0.0,34.0,5.5,1.897122929380994,6.0,630.5
6,4,greedy,2,0.9992088607594937,0.002512562814070352,0.0015822784810126582,0.013726335430247493,1.0031645569620253,0.0,42.5,6.0,1.5060908084163898,2.5,630.5
6,4,grid,2,0.9992088607594937,0.0033333333333333335,0.0015822784810126582,0.011349945505532023,1.0031645569620253,0.0,44.5,6.0,1.4471544715447155,2.5,630.5
6,8,greedy,2,1.0,0.0,0.0,0.006428504916049408,1.0,0.0,52.5,6.0,1.2191582002902757,2.5,630.5
6,8,grid,2,0.9992088607594937,0.0048543689320388345,0.0015822784810126582,0.006612496021476415,1.0031645569620253,0.0,52.5,6.0,1.2191582002902757,2.0,630.5
6,16,greedy,2,1.0,0.0,0.0,0.0012652765168689557,1.0,0.0,60.5,6.0,1.0585019136139966,2.0,630.5
6,16,grid,2,0.9992088607594937,0.013513513513513514,0.0015822784810126582,0.0023354758117895605,1.0031645569620253,0.0,59.0,6.0,1.085057471264368,2.0,630.5
12,2,greedy,2,0.9992088607594937,0.005376344086021506,0.0015822784810126582,0.011248384463019036,1.0031645569620253,0.0,49.0,6.0,1.3110367892976589,3.5,630.5
12,2,grid,2,0.9992088607594937,0.004807692307692308,0.0015822784810126582,0.01081462520989053,1.0031645569620253,0.0,48.0,6.0,1.3479596314172881,3.0,630.5
12,4,greedy,2,0.9992088607594937,0.017241379310344827,0.0015822784810126582,0.0043834750038167745,1.0031645569620253,0.0,56.5,6.0,1.1399747793190418,2.5,630.5
