family,method,rows,success_rate,empty_intersection_rate,destroyed_episode_rate,mean_regret,mean_cost,refusal_rate,groups,bits,mean_group_size,max_group_size,raw_possible_cases
family_h,ccsc_2x4,8064,0.9986843542561733,0.003532226495396138,0.003416744983984547,0.04610426679455448,1.0052625829753044,0.0,16.504464285714285,4.380952380952381,3.2480378279363062,5.930059523809524,25.416542658730158
family_h,ccsc_6x8,8064,0.9999316037488145,0.00042453034454522547,0.00017666864327403544,0.005152133245227955,1.0002735850047433,0.0,35.541666666666664,5.354166666666667,1.410016368239214,3.169642857142857,25.416542658730158
family_h,contact_count,8064,0.7640897521678346,0.9624255952380952,0.9624255952380952,0.1868875974277255,1.9436409913286838,0.0,1.0,0.0,48.0,48.0,25.416542658730158
family_h,normal8_mu2,8064,0.9989364372808949,0.004250273604812301,0.0028864247985551897,0.07357607810799136,1.004254250876438,0.0,9.915178571428571,3.3333333333333335,5.184016182230497,6.596726190476191,25.416542658730158
family_h,normal_4,8064,0.9980624813622003,0.010385664682539673,0.006356525491521189,0.16986932567561794,1.0077500745512122,0.0,4.0,2.0,12.0,12.69047619047619,25.416542658730158
family_h,normal_8,8064,0.998528482407171,0.006078455687830683,0.004264444177603104,0.08341289744788598,1.0058860703713313,0.0,7.994047619047619,3.0,6.003401360544217,6.846726190476191,25.416542658730158
family_h,prediction_4,8064,0.9993923329363573,0.002353345852229779,0.0015070159576646362,0.022095012516579988,1.0024306682545812,0.0,25.561011904761905,5.247023809523809,1.8985170006851746,4.799107142857143,25.416542658730158
family_h,random_3,8064,0.9078782806041825,0.2438344434996223,0.2677654901915081,0.15068968148740294,1.368486877583208,0.0,8.0,3.0,6.0,6.0,25.416542658730158
family_h,raw_mode,8064,1.0,0.0,0.0,0.0,1.0,0.0,48.0,5.5,1.0,1.0,25.416542658730158
family_h,safe_refusal_ccsc,8064,0.9998233313567259,0.00042453034454522547,0.00017666864327403544,0.005184851606298584,1.0007066745730961,0.00017666864327403544,35.541666666666664,5.354166666666667,1.410016368239214,3.169642857142857,25.416542658730158
