family,case_id,method,task_index,mode_count,action_count,task_count,topology,friction_profile,progress_margin,contact_margin,probe_tasks,action_sectors,probe_placement,label_false_positive,label_false_negative,probe_cost,probe_reliability,first_action_required,control,success_rate,empty_intersection_rate,destroyed_episode_rate,mean_regret,mean_cost,refusal_rate,groups,bits,mean_group_size,max_group_size,raw_possible_cases,seed
family_a,A_00001,contact_count,,32,36,8,uniform,low,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,0.8203125,1.0,1.0,0.17918229848146439,1.71875,0.0,1,0,32.0,32,128,27027
family_a,A_00001,normal_4,,32,36,8,uniform,low,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.18817679793573916,1.0,0.0,4,2,8.0,9,128,27027
family_a,A_00001,normal_8,,32,36,8,uniform,low,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.09788872790522873,1.0,0.0,8,3,4.0,5,128,27027
family_a,A_00001,normal8_mu2,,32,36,8,uniform,low,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.09788872790522873,1.0,0.0,8,3,4.0,5,128,27027
family_a,A_00001,random_3,,32,36,8,uniform,low,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,0.953125,0.04918032786885246,0.0703125,0.2608232502825558,1.1875,0.0,8,3,4.0,4,128,27027
family_a,A_00001,prediction_4,,32,36,8,uniform,low,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.0158868245780468,1.0,0.0,23,5,1.391304347826087,3,128,27027
family_a,A_00001,ccsc_2x4,,32,36,8,uniform,low,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.06485880073159933,1.0,0.0,12,4,2.6666666666666665,6,128,27027
family_a,A_00001,ccsc_6x8,,32,36,8,uniform,low,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.004450707929208875,1.0,0.0,30,5,1.0666666666666667,2,128,27027
family_a,A_00001,ccsc_8x12,,32,36,8,uniform,low,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.0,1.0,0.0,32,5,1.0,1,128,27027
family_a,A_00001,raw_mode,,32,36,8,uniform,low,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.0,1.0,0.0,32,5,1.0,1,128,27027
family_a,A_00002,contact_count,,32,36,8,uniform,low,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,0.828125,1.0,1.0,0.17909213341772556,1.6875,0.0,1,0,32.0,32,128,27045
family_a,A_00002,normal_4,,32,36,8,uniform,low,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.2026752440724522,1.0,0.0,4,2,8.0,9,128,27045
family_a,A_00002,normal_8,,32,36,8,uniform,low,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.09140152670443058,1.0,0.0,8,3,4.0,5,128,27045
family_a,A_00002,normal8_mu2,,32,36,8,uniform,low,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.09140152670443058,1.0,0.0,8,3,4.0,5,128,27045
family_a,A_00002,random_3,,32,36,8,uniform,low,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,0.984375,0.015873015873015872,0.0234375,0.2822315350640565,1.0625,0.0,8,3,4.0,4,128,27045
family_a,A_00002,prediction_4,,32,36,8,uniform,low,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.011133580468595028,1.0,0.0,26,5,1.2307692307692308,3,128,27045
family_a,A_00002,ccsc_2x4,,32,36,8,uniform,low,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.07007738680113107,1.0,0.0,12,4,2.6666666666666665,6,128,27045
family_a,A_00002,ccsc_6x8,,32,36,8,uniform,low,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.002768692560493946,1.0,0.0,30,5,1.0666666666666667,2,128,27045
family_a,A_00002,ccsc_8x12,,32,36,8,uniform,low,0.12,0.08,0,0,,0.0,0.0,0.0,1.0,1,,1.0,0.0,0.0,0.0,1.0,0.0,32,5,1.0,1,128,27045
